Test 1- 13/10/21,,Test 2 - 13/10/21,,Test 3 - 13/10/21,,Test 4 - 13/10/21,,Test 1 - 09/11/21,,Test 2 - 09/11/21,
Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm]
45.100,0.287,14.100,0.109,22.900,0.140,12.000,0.108,20.600,0.213,17.100,0.130
45.100,0.288,13.900,0.109,23.000,0.141,12.100,0.108,21.000,0.213,17.200,0.130
45.100,0.287,14.100,0.109,22.900,0.140,12.100,0.107,21.100,0.213,17.200,0.129
45.100,0.288,14.200,0.109,22.900,0.140,12.100,0.108,21.000,0.214,17.100,0.129
45.200,0.288,14.100,0.109,22.900,0.140,12.100,0.108,21.100,0.214,17.100,0.130
45.100,0.288,14.200,0.109,23.000,0.140,12.200,0.108,21.100,0.214,17.200,0.130
44.900,0.287,14.100,0.109,22.800,0.140,12.200,0.109,21.400,0.215,17.300,0.129
45.200,0.287,14.200,0.109,23.000,0.140,12.000,0.107,21.000,0.215,17.200,0.130
45.100,0.287,14.200,0.109,23.100,0.139,12.200,0.107,21.100,0.215,17.200,0.129
45.000,0.287,14.200,0.109,22.900,0.140,12.200,0.108,20.900,0.215,17.300,0.129
45.100,0.288,14.200,0.109,23.000,0.140,12.000,0.108,21.200,0.217,17.100,0.130
45.000,0.287,14.200,0.108,23.000,0.140,12.100,0.108,21.500,0.216,17.100,0.130
45.000,0.287,14.200,0.108,22.900,0.140,12.100,0.108,21.400,0.217,17.200,0.130
44.900,0.287,14.300,0.109,22.900,0.140,12.200,0.107,21.500,0.217,17.200,0.130
45.100,0.288,14.100,0.108,23.000,0.140,12.200,0.108,21.600,0.218,17.000,0.130
45.000,0.287,14.200,0.108,22.900,0.140,12.100,0.108,21.600,0.218,17.300,0.129
45.100,0.287,14.200,0.108,23.000,0.140,12.000,0.108,21.600,0.217,17.200,0.129
45.000,0.288,14.100,0.109,23.000,0.140,12.100,0.108,21.500,0.217,17.200,0.130
45.100,0.287,14.100,0.108,22.900,0.140,12.000,0.108,21.900,0.218,17.200,0.130
45.100,0.287,14.100,0.108,23.000,0.140,12.100,0.108,22.300,0.218,17.300,0.130
44.900,0.287,14.100,0.108,23.000,0.139,12.300,0.108,22.100,0.218,17.200,0.130
45.100,0.287,14.200,0.108,22.900,0.140,12.000,0.108,22.000,0.217,17.200,0.129
45.200,0.287,14.200,0.109,23.000,0.140,11.900,0.108,22.100,0.218,17.000,0.130
45.100,0.287,14.400,0.108,23.100,0.139,12.000,0.108,22.000,0.218,17.200,0.130
45.100,0.288,14.000,0.108,22.900,0.139,12.000,0.108,22.100,0.218,17.200,0.129
45.100,0.286,14.000,0.109,23.000,0.139,12.300,0.112,22.100,0.218,17.400,0.130
45.200,0.287,14.300,0.108,23.000,0.140,13.200,0.120,22.200,0.218,17.100,0.130
45.100,0.287,14.100,0.108,22.900,0.140,13.900,0.126,22.100,0.218,17.400,0.130
45.100,0.287,14.100,0.109,23.000,0.139,13.800,0.131,22.000,0.218,17.200,0.129
45.400,0.286,14.300,0.108,23.100,0.139,14.300,0.132,22.300,0.219,17.200,0.130
45.300,0.286,14.300,0.109,23.200,0.139,14.300,0.133,22.000,0.218,17.400,0.130
45.300,0.287,14.400,0.112,23.300,0.139,14.300,0.134,22.200,0.218,17.200,0.129
45.200,0.287,14.700,0.117,23.000,0.139,14.700,0.134,22.100,0.218,17.000,0.130
45.300,0.287,15.200,0.125,23.000,0.139,14.900,0.134,22.300,0.219,17.200,0.130
45.400,0.286,15.500,0.130,23.100,0.139,15.100,0.135,22.100,0.218,17.300,0.130
45.400,0.287,15.800,0.132,23.000,0.139,14.900,0.135,22.200,0.218,17.100,0.130
45.500,0.287,15.700,0.134,23.100,0.139,14.800,0.136,22.100,0.218,17.300,0.130
45.600,0.287,15.900,0.134,23.400,0.139,14.900,0.136,22.200,0.218,17.400,0.130
45.600,0.287,15.900,0.134,23.200,0.138,14.900,0.135,22.100,0.218,17.500,0.129
45.700,0.287,16.100,0.135,23.100,0.139,15.000,0.136,22.100,0.218,17.500,0.129
45.600,0.287,16.400,0.134,23.300,0.139,15.000,0.135,22.100,0.217,17.300,0.129
45.500,0.288,16.500,0.135,23.400,0.139,15.000,0.136,22.200,0.218,17.400,0.130
45.500,0.286,16.500,0.135,23.400,0.139,14.900,0.136,22.100,0.218,17.500,0.129
45.700,0.287,16.300,0.136,23.300,0.139,14.900,0.137,22.200,0.218,17.800,0.129
45.500,0.288,16.400,0.136,23.500,0.138,15.000,0.136,22.000,0.218,17.600,0.130
45.900,0.291,16.500,0.137,23.200,0.138,15.000,0.137,22.300,0.218,17.700,0.130
47.100,0.299,16.500,0.137,23.500,0.139,15.000,0.137,22.100,0.217,17.700,0.130
48.300,0.306,16.500,0.137,23.500,0.139,15.000,0.137,22.100,0.217,17.800,0.130
49.700,0.313,16.400,0.138,23.300,0.139,14.900,0.137,22.300,0.218,17.900,0.130
51.200,0.318,16.500,0.137,23.400,0.139,14.900,0.137,22.200,0.217,17.800,0.130
52.200,0.320,16.500,0.138,23.400,0.139,15.100,0.138,22.000,0.217,17.500,0.129
53.000,0.323,16.300,0.138,23.400,0.139,14.900,0.137,22.100,0.218,17.600,0.130
54.100,0.323,16.400,0.138,23.400,0.139,15.000,0.138,22.100,0.217,17.700,0.130
54.900,0.325,16.300,0.138,23.400,0.139,15.000,0.137,22.100,0.217,17.500,0.130
55.300,0.325,16.400,0.138,23.200,0.139,14.800,0.138,22.100,0.218,17.300,0.129
55.500,0.328,16.400,0.138,23.000,0.139,14.900,0.137,22.200,0.218,17.300,0.130
56.300,0.328,16.300,0.139,23.100,0.139,15.100,0.138,22.100,0.218,17.500,0.130
57.200,0.329,16.500,0.138,23.200,0.139,15.000,0.138,22.100,0.217,17.500,0.129
58.000,0.330,16.600,0.138,23.100,0.139,15.000,0.138,22.200,0.217,17.800,0.129
58.700,0.330,16.700,0.139,23.300,0.139,14.800,0.137,22.200,0.218,17.800,0.129
58.400,0.330,16.700,0.138,23.100,0.139,15.200,0.138,22.400,0.218,17.400,0.130
58.300,0.331,16.500,0.139,23.000,0.139,15.000,0.138,22.300,0.218,17.500,0.129
58.900,0.331,16.500,0.139,23.100,0.138,15.100,0.137,22.300,0.218,17.700,0.130
60.100,0.331,16.500,0.140,23.200,0.139,15.000,0.138,22.400,0.218,17.800,0.130
60.400,0.332,16.400,0.139,23.000,0.138,15.500,0.138,22.300,0.217,17.800,0.130
60.900,0.332,16.400,0.139,23.000,0.139,15.200,0.138,22.300,0.217,17.600,0.129
61.000,0.332,16.500,0.140,22.800,0.138,14.900,0.137,22.400,0.218,17.500,0.130
61.600,0.333,16.400,0.140,23.000,0.138,14.900,0.137,22.700,0.218,17.700,0.131
62.000,0.332,16.400,0.140,23.000,0.138,15.100,0.137,22.600,0.217,17.700,0.130
62.200,0.334,16.500,0.140,23.000,0.138,15.000,0.138,22.700,0.218,17.600,0.130
62.200,0.332,16.400,0.139,23.000,0.138,14.900,0.138,22.700,0.218,17.700,0.130
62.200,0.333,16.500,0.139,22.900,0.138,15.000,0.137,22.700,0.218,17.700,0.130
62.400,0.334,16.500,0.139,23.200,0.139,14.900,0.137,22.600,0.218,17.800,0.129
62.900,0.333,16.300,0.139,23.000,0.138,15.100,0.137,22.700,0.217,17.700,0.130
63.600,0.333,16.400,0.140,23.000,0.139,14.800,0.137,22.700,0.218,17.800,0.130
64.200,0.334,16.400,0.140,23.200,0.139,15.000,0.138,22.700,0.218,17.700,0.130
64.900,0.334,16.500,0.140,23.500,0.138,15.000,0.137,22.800,0.219,17.700,0.130
65.700,0.334,16.500,0.139,23.400,0.139,14.700,0.138,22.600,0.218,17.800,0.130
66.100,0.334,16.400,0.140,23.000,0.139,15.000,0.137,22.500,0.218,17.800,0.130
66.500,0.334,16.600,0.139,23.400,0.139,15.000,0.137,22.600,0.218,17.700,0.130
66.800,0.335,16.400,0.139,23.500,0.139,15.000,0.138,22.600,0.218,17.700,0.130
66.800,0.334,16.500,0.140,23.400,0.139,14.900,0.137,22.600,0.218,17.600,0.130
66.700,0.333,16.500,0.139,23.400,0.138,15.000,0.137,22.600,0.218,17.800,0.130
66.800,0.334,16.300,0.139,23.400,0.139,15.100,0.137,22.700,0.217,17.800,0.130
66.500,0.335,16.400,0.139,23.300,0.139,14.900,0.137,22.700,0.218,17.700,0.130
66.700,0.334,16.500,0.138,23.500,0.139,14.800,0.138,22.700,0.218,17.800,0.130
67.000,0.335,16.400,0.138,23.600,0.138,14.900,0.137,22.700,0.219,17.700,0.130
67.300,0.334,16.500,0.139,23.500,0.139,15.000,0.137,22.600,0.218,17.600,0.131
67.200,0.335,16.500,0.139,23.500,0.138,14.900,0.138,22.700,0.218,17.800,0.130
67.100,0.335,16.500,0.138,23.600,0.138,15.000,0.137,22.600,0.218,17.700,0.130
67.500,0.334,16.500,0.139,23.500,0.139,14.900,0.137,22.700,0.218,17.800,0.130
67.500,0.335,16.400,0.138,23.400,0.138,15.000,0.138,22.600,0.218,17.700,0.130
68.000,0.335,16.500,0.138,23.300,0.139,15.000,0.137,22.700,0.218,17.700,0.130
67.900,0.334,16.500,0.139,23.600,0.138,14.900,0.138,22.700,0.218,17.800,0.130
67.900,0.334,16.500,0.138,23.400,0.138,15.000,0.137,22.600,0.218,17.700,0.130
68.200,0.334,16.400,0.138,23.600,0.139,15.100,0.138,22.600,0.218,17.500,0.130
68.500,0.335,16.800,0.138,23.500,0.138,14.900,0.138,22.600,0.217,17.700,0.130
69.300,0.335,16.800,0.138,23.400,0.138,15.000,0.138,22.600,0.217,17.700,0.130
69.500,0.334,16.600,0.138,23.400,0.139,14.900,0.138,22.800,0.218,17.700,0.131
69.600,0.335,16.700,0.137,23.600,0.138,15.000,0.137,22.600,0.218,17.700,0.130
69.900,0.334,16.800,0.138,23.500,0.138,14.800,0.138,22.600,0.218,17.700,0.130
70.100,0.334,17.000,0.138,23.400,0.139,15.000,0.137,22.600,0.218,17.800,0.130
70.200,0.335,17.000,0.138,23.500,0.138,15.000,0.138,22.700,0.218,17.800,0.130
70.600,0.335,17.000,0.137,23.400,0.139,14.900,0.137,22.600,0.218,17.700,0.130
70.700,0.334,16.800,0.137,23.300,0.139,15.000,0.138,22.700,0.218,17.800,0.129
70.600,0.334,16.900,0.138,23.500,0.138,15.000,0.137,22.600,0.219,17.600,0.130
70.700,0.335,17.000,0.138,23.500,0.138,15.100,0.138,22.700,0.219,17.700,0.130
71.200,0.335,16.900,0.137,23.600,0.139,15.000,0.137,22.600,0.219,17.800,0.130
71.400,0.335,16.900,0.138,23.600,0.138,14.700,0.138,22.700,0.219,17.600,0.130
71.300,0.335,16.800,0.137,23.500,0.138,15.000,0.137,22.500,0.218,17.800,0.129
71.200,0.335,17.000,0.138,23.400,0.138,15.000,0.137,22.500,0.219,17.600,0.130
71.400,0.335,17.000,0.138,23.500,0.138,15.100,0.138,22.800,0.219,17.600,0.130
71.300,0.335,16.900,0.138,23.400,0.139,14.900,0.137,22.500,0.219,17.800,0.130
71.900,0.335,16.900,0.138,23.700,0.138,15.100,0.138,22.500,0.218,17.800,0.130
72.000,0.335,16.800,0.138,23.600,0.139,14.900,0.137,22.800,0.218,17.900,0.130
72.200,0.335,17.100,0.138,23.500,0.139,14.900,0.138,22.800,0.219,17.800,0.129
72.600,0.334,16.900,0.138,23.500,0.139,14.900,0.138,22.800,0.218,17.800,0.130
72.800,0.334,16.900,0.139,23.400,0.138,14.900,0.138,22.800,0.219,17.800,0.130
73.000,0.335,16.800,0.138,23.600,0.139,15.100,0.138,22.400,0.218,17.800,0.130
73.200,0.336,16.700,0.137,23.600,0.138,14.900,0.137,22.800,0.218,17.700,0.130
73.500,0.336,16.700,0.137,23.500,0.139,15.100,0.138,22.800,0.219,17.900,0.129
73.800,0.334,16.900,0.138,23.400,0.138,15.200,0.137,22.600,0.219,17.600,0.130
74.100,0.335,16.900,0.138,23.500,0.138,14.900,0.138,22.800,0.219,17.800,0.130
74.200,0.335,16.900,0.138,23.500,0.138,14.900,0.138,22.500,0.219,17.800,0.129
74.000,0.335,16.800,0.138,23.600,0.138,15.000,0.137,22.700,0.218,17.700,0.130
74.200,0.336,17.000,0.138,23.700,0.138,15.200,0.138,22.800,0.219,17.700,0.129
74.200,0.335,16.800,0.137,23.500,0.139,15.000,0.138,22.700,0.219,17.800,0.129
74.200,0.335,16.900,0.138,23.500,0.138,14.900,0.138,22.700,0.218,17.700,0.130
74.400,0.336,17.000,0.138,23.600,0.139,15.000,0.139,22.700,0.219,17.600,0.129
74.700,0.336,16.600,0.138,23.600,0.138,14.900,0.137,22.700,0.218,17.800,0.129
74.900,0.335,16.600,0.138,23.500,0.138,15.000,0.138,22.700,0.218,17.700,0.129
74.700,0.335,16.600,0.138,23.600,0.139,14.900,0.138,22.600,0.218,17.600,0.130
75.000,0.334,16.600,0.138,23.600,0.138,15.000,0.137,22.700,0.218,17.800,0.129
75.400,0.336,16.300,0.138,23.600,0.139,15.000,0.138,22.600,0.218,17.700,0.129
76.000,0.336,16.500,0.138,23.600,0.139,14.900,0.137,22.600,0.218,17.700,0.129
76.400,0.335,16.400,0.138,23.600,0.139,15.000,0.138,22.700,0.218,17.600,0.129
76.900,0.335,16.500,0.138,23.500,0.139,14.900,0.138,22.800,0.218,17.700,0.129
77.200,0.335,16.600,0.138,23.500,0.139,15.000,0.137,22.600,0.219,17.700,0.129
77.400,0.335,16.600,0.138,23.400,0.138,14.900,0.138,22.700,0.218,17.800,0.129
77.600,0.335,16.500,0.138,23.500,0.139,15.000,0.138,22.600,0.218,17.700,0.129
78.000,0.335,16.800,0.138,23.600,0.138,15.100,0.138,22.600,0.218,17.800,0.129
78.200,0.335,16.800,0.138,23.500,0.139,15.100,0.138,22.600,0.219,17.700,0.129
78.200,0.336,16.500,0.138,23.600,0.139,15.100,0.138,22.700,0.218,17.700,0.130
78.200,0.336,16.500,0.139,23.400,0.138,15.000,0.138,22.700,0.219,17.700,0.130
78.300,0.335,16.300,0.138,23.600,0.139,15.100,0.138,22.700,0.218,17.800,0.129
78.300,0.335,16.700,0.139,23.500,0.138,15.000,0.138,22.700,0.219,17.800,0.129
78.200,0.336,16.400,0.139,23.500,0.138,15.100,0.138,22.700,0.218,17.800,0.129
78.300,0.335,16.900,0.138,23.500,0.139,15.000,0.137,22.700,0.218,17.700,0.130
78.500,0.335,16.900,0.138,23.500,0.138,15.100,0.138,22.600,0.217,17.600,0.130
78.800,0.336,16.500,0.139,23.500,0.139,15.200,0.138,22.500,0.218,17.600,0.129
78.800,0.335,16.800,0.138,23.600,0.138,15.300,0.138,22.800,0.219,17.700,0.129
79.400,0.335,16.900,0.138,23.500,0.139,15.100,0.138,22.700,0.219,17.800,0.128
79.700,0.336,16.500,0.139,23.600,0.138,15.100,0.138,22.600,0.219,17.700,0.129
80.100,0.336,16.400,0.139,23.500,0.138,15.000,0.138,22.700,0.218,17.800,0.128
80.300,0.335,16.600,0.139,23.600,0.139,15.000,0.139,22.700,0.219,17.700,0.129
80.500,0.336,16.700,0.138,23.700,0.138,15.100,0.138,22.600,0.217,17.800,0.129
80.600,0.335,16.800,0.139,23.500,0.139,14.900,0.138,22.600,0.218,17.500,0.129
80.800,0.335,16.700,0.139,23.500,0.139,15.100,0.138,22.600,0.218,17.800,0.130
81.000,0.335,16.800,0.138,23.600,0.139,15.100,0.137,22.500,0.218,17.700,0.129
81.300,0.336,16.600,0.139,23.600,0.139,15.100,0.138,22.700,0.219,17.900,0.129
81.500,0.336,16.700,0.139,23.500,0.139,15.200,0.138,22.700,0.218,17.500,0.129
81.700,0.336,16.800,0.138,23.600,0.139,15.200,0.138,22.600,0.218,17.600,0.129
82.100,0.336,16.900,0.139,23.500,0.139,15.100,0.138,22.600,0.219,17.800,0.129
82.200,0.335,16.700,0.139,23.400,0.139,15.000,0.138,22.700,0.217,17.700,0.129
82.100,0.336,16.800,0.138,23.500,0.138,15.000,0.137,22.700,0.218,17.700,0.130
82.200,0.336,17.000,0.139,23.500,0.138,15.000,0.138,22.600,0.218,17.900,0.131
82.600,0.335,16.800,0.138,23.600,0.139,14.900,0.138,22.600,0.218,18.800,0.137
82.600,0.335,17.100,0.139,23.600,0.143,15.200,0.138,22.700,0.219,20.200,0.143
82.700,0.335,16.800,0.138,23.900,0.149,15.200,0.138,22.800,0.217,21.500,0.148
82.800,0.335,17.000,0.139,25.100,0.156,15.200,0.139,22.500,0.218,21.800,0.152
82.700,0.336,16.900,0.140,25.600,0.162,15.400,0.138,22.800,0.217,22.400,0.152
82.800,0.335,16.800,0.138,25.800,0.163,15.300,0.138,22.700,0.219,22.200,0.153
83.000,0.335,17.000,0.139,25.900,0.165,15.300,0.138,22.700,0.218,22.200,0.154
83.200,0.335,16.900,0.138,26.000,0.165,15.100,0.138,22.700,0.217,22.400,0.155
83.400,0.336,16.700,0.139,26.300,0.165,15.200,0.138,22.700,0.218,22.500,0.155
83.800,0.335,16.900,0.139,26.400,0.165,15.100,0.139,22.800,0.218,22.700,0.155
84.000,0.336,16.700,0.139,26.300,0.165,15.300,0.139,22.800,0.217,22.700,0.155
84.000,0.335,16.700,0.138,26.300,0.165,15.200,0.138,22.600,0.218,23.100,0.155
83.800,0.335,16.900,0.138,26.400,0.165,15.000,0.138,22.700,0.217,23.400,0.156
84.000,0.335,16.800,0.140,26.400,0.165,14.900,0.138,22.700,0.217,23.400,0.156
84.000,0.336,16.900,0.139,26.400,0.167,15.100,0.139,22.800,0.218,23.700,0.157
84.100,0.335,16.800,0.139,26.400,0.166,15.300,0.138,22.700,0.218,23.500,0.158
84.100,0.335,16.700,0.139,26.400,0.167,15.300,0.138,22.700,0.218,23.800,0.158
84.500,0.335,16.500,0.140,26.400,0.167,15.400,0.138,22.600,0.218,23.900,0.158
84.500,0.335,16.400,0.139,26.400,0.168,15.200,0.139,22.800,0.218,23.900,0.158
84.700,0.336,16.500,0.139,26.500,0.167,14.900,0.138,22.600,0.218,24.100,0.158
84.900,0.335,16.500,0.139,26.500,0.168,15.000,0.138,22.800,0.218,24.000,0.159
85.100,0.335,16.600,0.139,26.300,0.168,15.500,0.137,22.500,0.217,24.200,0.159
85.100,0.335,16.500,0.139,26.400,0.168,15.400,0.139,22.600,0.218,24.000,0.158
85.100,0.335,16.800,0.140,26.400,0.168,15.300,0.139,22.700,0.218,23.900,0.159
85.100,0.335,16.600,0.139,26.500,0.168,15.400,0.138,22.700,0.218,24.100,0.159
85.100,0.335,16.700,0.139,26.400,0.169,15.000,0.138,22.800,0.217,24.100,0.159
85.600,0.335,16.800,0.139,26.400,0.169,15.100,0.139,22.600,0.219,23.900,0.159
85.600,0.335,16.700,0.139,26.900,0.169,15.200,0.139,22.500,0.218,24.000,0.159
85.600,0.336,16.900,0.140,26.600,0.169,15.000,0.137,22.700,0.218,24.000,0.159
86.000,0.335,16.900,0.139,26.800,0.169,15.300,0.138,22.900,0.218,24.000,0.160
86.300,0.335,17.000,0.139,26.800,0.169,15.100,0.138,22.600,0.217,24.000,0.159
86.400,0.341,17.000,0.140,26.700,0.169,15.000,0.138,22.600,0.218,24.100,0.159
88.300,0.343,17.000,0.140,26.700,0.169,14.800,0.139,22.700,0.218,24.000,0.159
89.700,0.347,16.800,0.139,26.900,0.169,15.000,0.139,22.600,0.217,24.000,0.160
90.400,0.349,16.500,0.139,26.900,0.170,15.000,0.138,22.600,0.219,24.100,0.159
91.500,0.351,16.900,0.139,26.700,0.169,14.900,0.138,22.400,0.225,24.100,0.159
92.500,0.352,16.900,0.140,26.600,0.170,15.000,0.138,22.900,0.233,24.100,0.160
93.500,0.352,16.900,0.140,26.500,0.170,15.000,0.138,23.900,0.237,24.000,0.160
94.400,0.354,17.000,0.139,26.800,0.169,15.000,0.138,24.300,0.240,24.100,0.160
95.700,0.354,16.900,0.139,26.700,0.169,14.800,0.138,24.500,0.243,24.000,0.159
96.800,0.354,16.900,0.140,26.500,0.169,14.900,0.138,24.500,0.244,23.500,0.159
98.400,0.354,16.900,0.140,26.700,0.169,14.900,0.138,24.400,0.243,23.400,0.160
99.100,0.355,17.000,0.140,26.600,0.170,15.000,0.138,24.300,0.245,23.600,0.160
100.300,0.356,17.000,0.140,27.000,0.168,15.000,0.137,24.400,0.244,23.400,0.160
100.400,0.356,16.900,0.139,26.800,0.170,14.900,0.138,24.500,0.244,23.400,0.160
100.500,0.357,16.800,0.140,27.000,0.169,15.100,0.138,25.000,0.245,23.500,0.160
101.300,0.357,17.100,0.140,27.000,0.169,15.100,0.138,24.800,0.245,23.400,0.160
102.300,0.358,17.000,0.140,26.800,0.169,14.800,0.138,25.000,0.246,23.500,0.160
103.600,0.359,16.900,0.139,26.800,0.169,14.900,0.137,25.500,0.246,23.300,0.160
104.700,0.358,16.900,0.140,27.000,0.168,15.000,0.138,25.700,0.246,23.400,0.160
105.800,0.358,16.700,0.140,26.900,0.169,15.000,0.137,25.600,0.246,23.500,0.160
107.100,0.359,17.000,0.140,26.800,0.169,14.900,0.137,25.600,0.247,23.400,0.160
107.800,0.359,17.000,0.140,27.000,0.168,14.900,0.137,26.200,0.247,23.500,0.160
108.400,0.360,16.900,0.139,27.000,0.169,15.000,0.137,26.100,0.246,23.500,0.160
109.200,0.360,16.900,0.140,26.900,0.168,15.000,0.138,26.100,0.248,23.400,0.160
109.500,0.359,16.900,0.139,26.900,0.168,14.900,0.137,26.000,0.247,23.500,0.160
110.500,0.360,16.900,0.138,27.000,0.168,14.900,0.137,26.100,0.246,23.500,0.160
111.700,0.360,17.000,0.139,27.000,0.169,15.000,0.137,25.800,0.246,23.400,0.160
112.200,0.360,16.900,0.140,27.000,0.169,15.100,0.137,25.900,0.247,23.400,0.160
112.600,0.361,16.800,0.139,26.900,0.168,15.000,0.137,25.500,0.248,23.400,0.160
113.100,0.362,16.900,0.140,26.900,0.168,14.900,0.138,25.600,0.246,23.500,0.160
113.700,0.362,16.800,0.140,26.700,0.168,14.900,0.137,26.000,0.246,23.500,0.160
114.700,0.363,16.900,0.140,26.900,0.168,14.900,0.137,26.100,0.247,23.400,0.160
114.800,0.362,16.900,0.140,27.000,0.168,14.800,0.137,25.900,0.247,23.500,0.160
115.200,0.363,16.900,0.139,26.800,0.168,15.700,0.142,25.700,0.246,23.500,0.159
116.100,0.363,16.800,0.141,26.900,0.168,16.100,0.149,25.500,0.246,23.500,0.160
117.200,0.364,17.000,0.140,27.000,0.168,17.600,0.156,25.600,0.247,23.400,0.160
118.200,0.364,17.000,0.140,27.000,0.168,17.900,0.160,25.500,0.247,23.600,0.160
118.800,0.364,17.000,0.140,26.900,0.168,18.000,0.163,25.600,0.247,23.500,0.161
118.700,0.364,16.900,0.140,26.900,0.168,18.300,0.164,25.500,0.246,23.400,0.161
119.400,0.365,16.900,0.142,27.000,0.168,18.400,0.164,25.500,0.247,23.500,0.161
120.200,0.366,18.200,0.149,26.800,0.168,18.300,0.165,25.600,0.247,23.400,0.160
120.900,0.366,18.700,0.155,27.000,0.168,18.200,0.165,25.400,0.248,23.500,0.160
121.400,0.365,18.600,0.161,27.000,0.168,18.400,0.165,25.600,0.248,23.400,0.160
122.300,0.366,18.700,0.163,26.800,0.167,18.400,0.165,25.600,0.247,23.500,0.161
122.900,0.366,19.700,0.165,27.000,0.168,18.200,0.165,25.600,0.247,23.500,0.160
123.200,0.367,20.000,0.165,26.800,0.167,18.400,0.165,25.600,0.248,23.500,0.160
123.500,0.368,19.700,0.166,26.800,0.167,18.500,0.166,25.500,0.248,23.400,0.161
124.400,0.367,19.800,0.166,26.800,0.168,18.300,0.165,25.500,0.247,23.500,0.160
124.700,0.367,20.100,0.167,26.700,0.167,18.300,0.166,25.400,0.248,23.300,0.161
125.300,0.367,20.300,0.166,26.900,0.168,18.400,0.166,25.600,0.247,23.400,0.161
125.500,0.369,20.500,0.166,26.900,0.167,18.400,0.167,25.700,0.248,23.600,0.160
126.000,0.368,20.500,0.167,26.800,0.167,18.400,0.167,25.600,0.247,23.500,0.161
126.400,0.368,20.400,0.168,26.900,0.167,18.400,0.166,25.600,0.247,23.500,0.161
126.700,0.369,20.400,0.169,26.900,0.168,18.200,0.167,26.000,0.249,23.600,0.160
127.400,0.370,20.500,0.168,27.000,0.168,18.200,0.167,26.000,0.249,23.400,0.160
128.500,0.370,20.500,0.168,27.100,0.167,18.300,0.167,26.100,0.249,23.400,0.161
128.700,0.369,20.300,0.169,27.000,0.167,18.300,0.167,26.100,0.248,23.500,0.161
129.000,0.369,20.400,0.169,26.900,0.168,18.300,0.167,26.000,0.249,23.500,0.161
129.600,0.370,20.500,0.169,26.900,0.167,18.300,0.167,25.900,0.249,23.500,0.160
130.400,0.370,20.500,0.169,27.000,0.168,18.400,0.168,26.200,0.248,23.400,0.161
130.700,0.371,20.400,0.170,26.900,0.167,18.400,0.168,26.200,0.248,23.500,0.160
131.200,0.371,20.500,0.169,27.000,0.168,18.400,0.168,26.100,0.249,23.500,0.161
131.900,0.372,20.500,0.169,27.100,0.167,18.100,0.168,26.100,0.248,23.400,0.160
132.400,0.372,20.500,0.170,26.900,0.167,18.300,0.169,26.000,0.248,23.600,0.160
133.100,0.372,20.400,0.170,27.000,0.168,18.000,0.168,26.100,0.249,23.500,0.160
133.600,0.373,20.400,0.169,27.000,0.168,18.000,0.168,26.100,0.248,23.400,0.159
134.600,0.372,20.500,0.170,27.000,0.168,17.900,0.168,26.100,0.249,23.500,0.159
135.100,0.373,20.600,0.170,26.800,0.168,18.200,0.169,26.100,0.248,23.400,0.159
135.600,0.373,20.500,0.170,27.000,0.168,18.100,0.169,26.100,0.249,23.400,0.159
136.200,0.374,20.500,0.170,27.200,0.167,18.200,0.168,26.200,0.249,23.500,0.159
136.700,0.373,20.400,0.170,26.800,0.168,18.200,0.168,26.100,0.249,23.400,0.160
137.000,0.373,20.300,0.170,27.000,0.167,18.000,0.168,26.100,0.249,23.400,0.160
137.400,0.375,20.400,0.170,27.000,0.167,17.800,0.168,26.100,0.249,23.400,0.159
138.200,0.374,20.500,0.170,26.800,0.167,17.900,0.169,26.100,0.249,23.500,0.160
138.400,0.374,20.500,0.169,27.000,0.167,18.000,0.169,26.200,0.248,23.400,0.160
138.800,0.375,20.500,0.170,26.800,0.167,17.900,0.169,26.100,0.249,23.400,0.159
139.200,0.374,20.400,0.170,27.000,0.168,18.000,0.169,26.000,0.250,23.500,0.159
139.500,0.376,20.300,0.169,26.900,0.167,18.200,0.169,26.100,0.249,23.400,0.159
139.800,0.375,20.400,0.169,26.900,0.167,18.400,0.169,26.100,0.249,23.500,0.159
140.200,0.376,20.300,0.169,27.000,0.167,18.100,0.169,26.100,0.249,23.500,0.159
140.600,0.375,20.400,0.169,26.800,0.168,18.000,0.168,26.100,0.248,23.400,0.159
141.200,0.376,20.400,0.170,26.800,0.167,18.300,0.168,26.200,0.248,23.400,0.160
141.600,0.376,20.500,0.169,26.900,0.167,18.300,0.169,26.200,0.248,23.400,0.159
141.500,0.375,20.500,0.169,26.900,0.168,18.300,0.168,26.100,0.249,23.400,0.158
142.200,0.377,20.400,0.170,26.800,0.168,18.300,0.169,26.100,0.249,23.500,0.159
142.300,0.377,20.400,0.170,26.900,0.167,18.100,0.169,26.100,0.249,23.500,0.159
142.500,0.378,20.400,0.169,26.900,0.167,18.000,0.169,26.200,0.250,23.500,0.159
142.800,0.376,20.400,0.169,27.100,0.167,18.400,0.168,26.200,0.248,23.400,0.159
143.200,0.377,20.400,0.169,26.900,0.168,18.300,0.169,26.300,0.249,23.500,0.159
143.400,0.377,20.400,0.169,26.800,0.168,18.200,0.169,26.100,0.249,23.500,0.158
143.700,0.376,20.500,0.170,26.900,0.167,18.300,0.169,26.300,0.249,23.500,0.159
